decil,candidato,con_jcf,tasa_decil,reparto_jcf,cve_ent,año
1,29615,0.0,0.0,0.0,12,2022
2,25757,0.0,0.0,0.0,12,2022
3,21698,1138.0,0.0524472301594617,0.2878098128477491,12,2022
4,12833,391.0,0.0304683238525676,0.09888720283257461,12,2022
5,13664,275.0,0.020125878220140517,0.069549822964087,12,2022
6,14224,1233.0,0.08668447694038245,0.3118361153262519,12,2022
7,8135,502.0,0.06170866625691457,0.12696004046535153,12,2022
8,4472,0.0,0.0,0.0,12,2022
9,4454,415.0,0.09317467444993265,0.10495700556398584,12,2022
10,3719,0.0,0.0,0.0,12,2022
1,29043,0.0,0.0,0.0,12,2024
2,21429,0.0,0.0,0.0,12,2024
3,14487,316.0,0.02181265962587147,0.1111111111111111,12,2024
4,13409,316.0,0.023566261466179433,0.1111111111111111,12,2024
5,10359,0.0,0.0,0.0,12,2024
6,7580,453.0,0.05976253298153034,0.15928270042194093,12,2024
7,5674,0.0,0.0,0.0,12,2024
8,5435,832.0,0.153081876724931,0.29254571026722925,12,2024
9,3286,492.0,0.14972611077297626,0.1729957805907173,12,2024
10,3745,435.0,0.11615487316421896,0.1529535864978903,12,2024
1,10328,0.0,0.0,0.0,13,2020
2,14121,0.0,0.0,0.0,13,2020
3,22017,394.0,0.017895262751510196,0.19351669941060903,13,2020
4,17078,332.0,0.019440215481906546,0.16306483300589392,13,2020
5,13720,602.0,0.04387755102040816,0.2956777996070727,13,2020
6,16141,354.0,0.021931726658819158,0.1738703339882122,13,2020
7,12924,354.0,0.027390900649953576,0.1738703339882122,13,2020
8,10187,0.0,0.0,0.0,13,2020
9,10795,0.0,0.0,0.0,13,2020
10,5074,0.0,0.0,0.0,13,2020
1,10379,0.0,0.0,0.0,13,2022
2,11440,0.0,0.0,0.0,13,2022
3,11818,0.0,0.0,0.0,13,2022
4,11314,0.0,0.0,0.0,13,2022
5,7288,0.0,0.0,0.0,13,2022
6,10390,453.0,0.04359961501443696,1.0,13,2022
7,13310,0.0,0.0,0.0,13,2022
8,7361,0.0,0.0,0.0,13,2022
9,10177,0.0,0.0,0.0,13,2022
10,4682,0.0,0.0,0.0,13,2022
1,9431,0.0,0.0,0.0,13,2024
2,18062,0.0,0.0,0.0,13,2024
3,10644,0.0,0.0,0.0,13,2024
4,14589,0.0,0.0,0.0,13,2024
5,11583,0.0,0.0,0.0,13,2024
6,12947,0.0,0.0,0.0,13,2024
7,9552,0.0,0.0,0.0,13,2024
8,6192,0.0,0.0,0.0,13,2024
9,5036,0.0,0.0,0.0,13,2024
10,3186,0.0,0.0,0.0,13,2024
1,6569,0.0,0.0,0.0,14,2020
2,20958,0.0,0.0,0.0,14,2020
3,40695,0.0,0.0,0.0,14,2020
4,47355,0.0,0.0,0.0,14,2020
5,43135,0.0,0.0,0.0,14,2020
6,42136,0.0,0.0,0.0,14,2020
7,44863,0.0,0.0,0.0,14,2020
8,38460,0.0,0.0,0.0,14,2020
9,37375,0.0,0.0,0.0,14,2020
10,34584,0.0,0.0,0.0,14,2020
1,5726,0.0,0.0,0.0,14,2022
2,21020,0.0,0.0,0.0,14,2022
3,23414,0.0,0.0,0.0,14,2022
4,23569,0.0,0.0,0.0,14,2022
5,33492,0.0,0.0,0.0,14,2022
6,32757,0.0,0.0,0.0,14,2022
7,26045,0.0,0.0,0.0,14,2022
8,38872,0.0,0.0,0.0,14,2022
9,37918,961.0,0.02534416372171528,1.0,14,2022
10,24201,0.0,0.0,0.0,14,2022
1,16644,0.0,0.0,0.0,14,2024
2,24714,0.0,0.0,0.0,14,2024
3,24028,0.0,0.0,0.0,14,2024
4,34890,0.0,0.0,0.0,14,2024
5,26456,0.0,0.0,0.0,14,2024
6,25147,0.0,0.0,0.0,14,2024
7,27001,0.0,0.0,0.0,14,2024
8,28125,0.0,0.0,0.0,14,2024
9,35979,0.0,0.0,0.0,14,2024
10,16241,0.0,0.0,0.0,14,2024
1,57789,0.0,0.0,0.0,15,2020
2,72040,0.0,0.0,0.0,15,2020
3,81519,0.0,0.0,0.0,15,2020
4,72222,0.0,0.0,0.0,15,2020
5,92649,0.0,0.0,0.0,15,2020
6,118631,2004.0,0.016892717755055593,0.3706306639541335,15,2020
7,94351,0.0,0.0,0.0,15,2020
8,94256,3141.0,0.03332413851638092,0.5809136304790087,15,2020
9,69866,0.0,0.0,0.0,15,2020
10,26833,262.0,0.009764096448403085,0.04845570556685778,15,2020
1,30900,0.0,0.0,0.0,15,2022
2,100881,1846.0,0.01829878768053449,0.6981845688350984,15,2022
3,78170,352.0,0.004503006268389407,0.13313161875945537,15,2022
4,113433,0.0,0.0,0.0,15,2022
5,80753,0.0,0.0,0.0,15,2022
6,70820,0.0,0.0,0.0,15,2022
7,77191,0.0,0.0,0.0,15,2022
8,54000,446.0,0.00825925925925926,0.1686838124054463,15,2022
9,40219,0.0,0.0,0.0,15,2022
10,32938,0.0,0.0,0.0,15,2022
1,16473,0.0,0.0,0.0,15,2024
2,63351,0.0,0.0,0.0,15,2024
3,94474,337.0,0.0035671189957025215,0.20047590719809638,15,2024
4,85247,0.0,0.0,0.0,15,2024
5,67912,0.0,0.0,0.0,15,2024
6,67722,0.0,0.0,0.0,15,2024
7,60852,0.0,0.0,0.0,15,2024
8,62802,929.0,0.014792522531129582,0.552647233789411,15,2024
9,49939,415.0,0.008310138368809948,0.24687685901249257,15,2024
10,30021,0.0,0.0,0.0,15,2024
1,11152,0.0,0.0,0.0,16,2020
2,20024,650.0,0.03246104674390731,0.21103896103896103,16,2020
3,22228,0.0,0.0,0.0,16,2020
4,28731,0.0,0.0,0.0,16,2020
5,21203,0.0,0.0,0.0,16,2020
6,19853,1224.0,0.06165315065733139,0.3974025974025974,16,2020
7,17210,0.0,0.0,0.0,16,2020
8,16993,0.0,0.0,0.0,16,2020
9,17320,1206.0,0.06963048498845266,0.39155844155844155,16,2020
10,14186,0.0,0.0,0.0,16,2020
1,15272,0.0,0.0,0.0,16,2022
2,25677,0.0,0.0,0.0,16,2022
3,28905,0.0,0.0,0.0,16,2022
4,19899,740.0,0.03718779838182823,0.22023809523809523,16,2022
5,17892,0.0,0.0,0.0,16,2022
6,21231,577.0,0.02717724082709246,0.17172619047619048,16,2022
7,17072,2043.0,0.11966963448922212,0.6080357142857142,16,2022
8,10985,0.0,0.0,0.0,16,2022
9,11512,0.0,0.0,0.0,16,2022
10,6463,0.0,0.0,0.0,16,2022
1,14123,0.0,0.0,0.0,16,2024
2,17730,0.0,0.0,0.0,16,2024
3,22720,0.0,0.0,0.0,16,2024
4,27326,585.0,0.021408182683158895,0.5566127497621313,16,2024
5,17292,466.0,0.026948878093916263,0.4433872502378687,16,2024
6,12268,0.0,0.0,0.0,16,2024
7,11668,0.0,0.0,0.0,16,2024
8,20518,0.0,0.0,0.0,16,2024
9,13692,0.0,0.0,0.0,16,2024
10,7043,0.0,0.0,0.0,16,2024
1,6746,150.0,0.02223539875481767,0.10013351134846461,17,2020
2,12095,0.0,0.0,0.0,17,2020
3,9207,83.0,0.009014879982621918,0.05540720961281709,17,2020
4,6890,264.0,0.038316400580551524,0.17623497997329773,17,2020
5,8440,490.0,0.058056872037914695,0.32710280373831774,17,2020
6,5131,0.0,0.0,0.0,17,2020
7,9898,0.0,0.0,0.0,17,2020
8,9052,140.0,0.015466195315952275,0.09345794392523364,17,2020
