cve_ent,categoria,sexo,edad,personas,año
28,Solo trabaja,MASCULINO,29,206,2020
29,Ninguna,FEMENINO,19,123,2020
29,Ninguna,FEMENINO,22,188,2020
29,Ninguna,FEMENINO,28,145,2020
29,Ninguna,FEMENINO,29,145,2020
29,Ninguna,MASCULINO,22,154,2020
29,Ninguna,MASCULINO,24,186,2020
29,Solo trabaja,MASCULINO,24,132,2020
30,Estudia y trabaja,FEMENINO,22,694,2020
30,Estudia y trabaja,MASCULINO,22,536,2020
30,Ninguna,FEMENINO,20,1697,2020
30,Ninguna,FEMENINO,22,2221,2020
30,Ninguna,FEMENINO,23,1883,2020
30,Ninguna,FEMENINO,24,1321,2020
30,Ninguna,MASCULINO,21,572,2020
30,Solo estudia,MASCULINO,22,1189,2020
30,Solo trabaja,FEMENINO,23,500,2020
30,Solo trabaja,MASCULINO,25,880,2020
31,Estudia y trabaja,MASCULINO,24,109,2020
31,Ninguna,FEMENINO,19,91,2020
31,Ninguna,FEMENINO,22,258,2020
31,Ninguna,FEMENINO,25,232,2020
31,Ninguna,FEMENINO,26,352,2020
31,Ninguna,FEMENINO,27,81,2020
31,Ninguna,MASCULINO,23,396,2020
31,Solo trabaja,FEMENINO,21,89,2020
31,Solo trabaja,FEMENINO,23,97,2020
31,Solo trabaja,MASCULINO,24,327,2020
32,Ninguna,FEMENINO,19,163,2020
32,Ninguna,FEMENINO,23,188,2020
32,Ninguna,FEMENINO,24,245,2020
32,Ninguna,FEMENINO,28,158,2020
32,Ninguna,FEMENINO,29,176,2020
32,Ninguna,MASCULINO,21,184,2020
32,Solo estudia,FEMENINO,22,184,2020
32,Solo trabaja,FEMENINO,24,191,2020
32,Solo trabaja,MASCULINO,24,245,2020
32,Solo trabaja,MASCULINO,26,188,2020
32,Solo trabaja,MASCULINO,27,232,2020
01,Ninguna,FEMENINO,28,78,2022
03,Ninguna,FEMENINO,18,55,2022
03,Ninguna,FEMENINO,20,132,2022
03,Ninguna,FEMENINO,25,112,2022
04,Ninguna,FEMENINO,19,272,2022
04,Ninguna,FEMENINO,25,158,2022
04,Ninguna,FEMENINO,26,289,2022
04,Ninguna,FEMENINO,27,110,2022
04,Ninguna,FEMENINO,28,144,2022
04,Ninguna,MASCULINO,23,159,2022
04,Solo trabaja,FEMENINO,20,129,2022
04,Solo trabaja,FEMENINO,24,142,2022
04,Solo trabaja,MASCULINO,28,159,2022
04,Solo trabaja,MASCULINO,29,322,2022
05,Ninguna,FEMENINO,18,263,2022
06,Ninguna,FEMENINO,23,172,2022
06,Ninguna,FEMENINO,24,79,2022
06,Ninguna,FEMENINO,25,52,2022
06,Ninguna,MASCULINO,26,23,2022
06,Solo trabaja,FEMENINO,22,25,2022
07,Estudia y trabaja,FEMENINO,20,626,2022
07,Ninguna,FEMENINO,18,930,2022
07,Ninguna,FEMENINO,19,775,2022
07,Ninguna,FEMENINO,21,695,2022
07,Ninguna,FEMENINO,24,695,2022
07,Ninguna,FEMENINO,26,590,2022
07,Solo trabaja,FEMENINO,29,551,2022
07,Solo trabaja,MASCULINO,20,775,2022
07,Solo trabaja,MASCULINO,28,695,2022
08,Ninguna,FEMENINO,24,97,2022
08,Ninguna,FEMENINO,25,115,2022
08,Ninguna,FEMENINO,29,71,2022
08,Ninguna,MASCULINO,28,115,2022
09,Ninguna,FEMENINO,19,1853,2022
09,Ninguna,MASCULINO,19,32,2022
10,Ninguna,FEMENINO,21,255,2022
10,Ninguna,FEMENINO,23,121,2022
10,Ninguna,FEMENINO,24,231,2022
10,Ninguna,FEMENINO,25,108,2022
10,Ninguna,FEMENINO,28,183,2022
10,Ninguna,MASCULINO,23,235,2022
10,Ninguna,MASCULINO,26,128,2022
10,Solo trabaja,FEMENINO,19,126,2022
10,Solo trabaja,MASCULINO,23,343,2022
10,Solo trabaja,MASCULINO,29,99,2022
11,Ninguna,FEMENINO,21,273,2022
11,Ninguna,MASCULINO,25,1408,2022
11,Solo estudia,FEMENINO,21,299,2022
12,Ninguna,FEMENINO,20,666,2022
12,Ninguna,FEMENINO,21,502,2022
12,Ninguna,FEMENINO,22,392,2022
12,Ninguna,FEMENINO,24,324,2022
12,Ninguna,FEMENINO,26,502,2022
12,Ninguna,FEMENINO,29,407,2022
12,Ninguna,FEMENINO,58,364,2022
12,Ninguna,MASCULINO,25,415,2022
12,Solo trabaja,MASCULINO,22,382,2022
13,Solo trabaja,FEMENINO,26,453,2022
14,Ninguna,FEMENINO,28,961,2022
15,Ninguna,MASCULINO,18,352,2022
15,Ninguna,MASCULINO,20,1846,2022
15,Solo trabaja,MASCULINO,23,446,2022
16,Ninguna,FEMENINO,21,654,2022
16,Ninguna,FEMENINO,27,694,2022
16,Ninguna,FEMENINO,28,740,2022
16,Solo trabaja,MASCULINO,19,1272,2022
16,Solo trabaja,MASCULINO,28,740,2022
17,Ninguna,FEMENINO,19,314,2022
17,Ninguna,FEMENINO,21,153,2022
17,Ninguna,FEMENINO,24,152,2022
17,Ninguna,FEMENINO,25,278,2022
17,Ninguna,MASCULINO,22,248,2022
17,Solo trabaja,FEMENINO,24,307,2022
17,Solo trabaja,MASCULINO,25,278,2022
18,Ninguna,FEMENINO,21,188,2022
18,Ninguna,FEMENINO,24,192,2022
18,Ninguna,FEMENINO,27,218,2022
18,Ninguna,MASCULINO,19,167,2022
18,Ninguna,MASCULINO,22,171,2022
18,Solo trabaja,MASCULINO,27,192,2022
20,Ninguna,FEMENINO,23,568,2022
20,Ninguna,FEMENINO,24,973,2022
20,Ninguna,MASCULINO,24,413,2022
20,Solo trabaja,FEMENINO,19,291,2022
22,Ninguna,FEMENINO,23,232,2022
22,Solo trabaja,MASCULINO,19,107,2022
23,Estudia y trabaja,MASCULINO,26,230,2022
23,Ninguna,FEMENINO,21,262,2022
23,Ninguna,FEMENINO,25,160,2022
23,Ninguna,FEMENINO,28,189,2022
23,Ninguna,MASCULINO,18,201,2022
23,Ninguna,MASCULINO,23,128,2022
23,Ninguna,MASCULINO,26,169,2022
23,Solo trabaja,FEMENINO,26,133,2022
23,Solo trabaja,MASCULINO,20,140,2022
23,Solo trabaja,MASCULINO,23,125,2022
24,Estudia y trabaja,MASCULINO,19,382,2022
25,Ninguna,FEMENINO,18,217,2022
25,Ninguna,FEMENINO,20,374,2022
25,Ninguna,FEMENINO,24,239,2022
26,Ninguna,FEMENINO,25,523,2022
27,Estudia y trabaja,MASCULINO,19,343,2022
27,Ninguna,FEMENINO,19,695,2022
27,Ninguna,FEMENINO,20,289,2022
27,Ninguna,FEMENINO,23,306,2022
27,Ninguna,FEMENINO,24,703,2022
27,Ninguna,FEMENINO,27,1224,2022
27,Ninguna,MASCULINO,19,353,2022
27,Ninguna,MASCULINO,20,329,2022
27,Ninguna,MASCULINO,25,273,2022
27,Ninguna,MASCULINO,26,362,2022
27,Solo trabaja,MASCULINO,19,358,2022
29,Ninguna,FEMENINO,19,119,2022
29,Ninguna,FEMENINO,20,167,2022
29,Ninguna,FEMENINO,22,173,2022
29,Ninguna,FEMENINO,24,140,2022
29,Ninguna,MASCULINO,19,269,2022
29,Ninguna,MASCULINO,25,155,2022
29,Solo trabaja,MASCULINO,25,173,2022
29,Solo trabaja,MASCULINO,28,222,2022
30,Ninguna,FEMENINO,23,538,2022
30,Ninguna,FEMENINO,26,685,2022
30,Ninguna,FEMENINO,29,1988,2022
30,Solo trabaja,MASCULINO,29,751,2022
31,Ninguna,FEMENINO,19,256,2022
31,Ninguna,FEMENINO,20,194,2022
31,Ninguna,FEMENINO,25,413,2022
31,Ninguna,FEMENINO,26,107,2022
31,Ninguna,FEMENINO,28,269,2022
31,Solo trabaja,MASCULINO,27,293,2022
32,Ninguna,FEMENINO,23,411,2022
32,Ninguna,FEMENINO,25,349,2022
32,Ninguna,FEMENINO,27,221,2022
32,Ninguna,FEMENINO,28,185,2022
32,Ninguna,FEMENINO,29,179,2022
32,Solo trabaja,FEMENINO,23,124,2022
32,Solo trabaja,MASCULINO,21,183,2022
32,Solo trabaja,MASCULINO,22,92,2022
32,Solo trabaja,MASCULINO,23,195,2022
03,Ninguna,FEMENINO,20,26,2024
04,Solo trabaja,FEMENINO,19,123,2024
04,Solo trabaja,MASCULINO,23,132,2024
06,Ninguna,FEMENINO,25,17,2024
06,Ninguna,FEMENINO,26,16,2024
06,Solo trabaja,FEMENINO,22,16,2024
06,Solo trabaja,FEMENINO,24,108,2024
