macrotema,monto_exp,pct,cve_ent,año
Programas sociales y becas,4943081.3,19.9,18,2024
Percepciones financieras y de capital,187911.9,0.76,18,2024
Trabajo,43963521.199999996,58.32,19,2020
Programas sociales y becas,17399453.07,23.08,19,2020
Transferencias,8465324.16,11.23,19,2020
Percepciones financieras y de capital,5083275.199999999,6.74,19,2020
Negocio propio,473540.13,0.63,19,2020
Trabajo,3385270.35,87.49,19,2024
Programas sociales y becas,484238.7,12.51,19,2024
Trabajo,79673610.63,39.71,20,2020
Negocio propio,49991541.43,24.92,20,2020
Transferencias,34650938.4,17.27,20,2020
Programas sociales y becas,24464917.72,12.19,20,2020
Otros ingresos,9010602.719999999,4.49,20,2020
Percepciones financieras y de capital,2636549.8400000003,1.31,20,2020
Renta de la propiedad,203536.19999999998,0.1,20,2020
Trabajo,51074511.95,58.01,20,2022
Programas sociales y becas,20311600.42,23.07,20,2022
Negocio propio,9246057.3,10.5,20,2022
Transferencias,3758350.9,4.27,20,2022
Percepciones financieras y de capital,3656061.85,4.15,20,2022
Transferencias,6745566.9,50.32,21,2020
Programas sociales y becas,3511444.59,26.2,21,2020
Percepciones financieras y de capital,1836290.46,13.7,21,2020
Trabajo,749503.2000000001,5.59,21,2020
Renta de la propiedad,562127.4,4.19,21,2020
Trabajo,20651449.77,69.21,22,2020
Programas sociales y becas,5027971.42,16.85,22,2020
Transferencias,3429340.65,11.49,22,2020
Percepciones financieras y de capital,571919.5800000001,1.92,22,2020
Negocio propio,112245.23,0.38,22,2020
Renta de la propiedad,47704.6,0.16,22,2020
Trabajo,15554599.31,83.13,22,2022
Programas sociales y becas,2533182.66,13.54,22,2022
Negocio propio,617365.39,3.3,22,2022
Transferencias,5233.37,0.03,22,2022
Trabajo,10078616.879999999,59.92,22,2024
Programas sociales y becas,4431810.87,26.35,22,2024
Transferencias,1652458.08,9.82,22,2024
Percepciones financieras y de capital,390325.74,2.32,22,2024
Negocio propio,268020.56,1.59,22,2024
Transferencias,32582160.7,37.38,23,2020
Programas sociales y becas,25638548.62,29.41,23,2020
Trabajo,22025123.36,25.27,23,2020
Percepciones financieras y de capital,4128894.08,4.74,23,2020
Negocio propio,2766065.69,3.17,23,2020
Otros ingresos,31401.290000000005,0.04,23,2020
Negocio propio,51956527.150000006,38.24,23,2022
Trabajo,51030314.58,37.56,23,2022
Programas sociales y becas,23615326.25,17.38,23,2022
Transferencias,5123749.5,3.77,23,2022
Percepciones financieras y de capital,2894807.1,2.13,23,2022
Renta de la propiedad,1260496.6400000001,0.93,23,2022
Trabajo,17624456.01,30.17,23,2024
Programas sociales y becas,17287232.98,29.59,23,2024
Negocio propio,12769038.97,21.85,23,2024
Transferencias,8464047.63,14.49,23,2024
Percepciones financieras y de capital,2281888.8400000003,3.91,23,2024
Trabajo,17534633.41,42.95,24,2020
Negocio propio,13951819.61,34.17,24,2020
Programas sociales y becas,7668312.8100000005,18.78,24,2020
Percepciones financieras y de capital,1178314.1700000002,2.89,24,2020
Transferencias,494746.28,1.21,24,2020
Trabajo,6410628.5,88.01,24,2022
Programas sociales y becas,873744.78,11.99,24,2022
Trabajo,19314070.6,44.22,24,2024
Negocio propio,13839574.469999999,31.69,24,2024
Programas sociales y becas,6578534.6899999995,15.06,24,2024
Transferencias,3005898.79,6.88,24,2024
Percepciones financieras y de capital,939343.73,2.15,24,2024
Transferencias,36666335.14,57.05,25,2020
Trabajo,18748168.59,29.17,25,2020
Programas sociales y becas,6348143.850000001,9.88,25,2020
Percepciones financieras y de capital,2506791.2500000005,3.9,25,2020
Trabajo,28279019.810000002,53.97,25,2022
Programas sociales y becas,12383657.850000001,23.63,25,2022
Transferencias,9825089.350000001,18.75,25,2022
Negocio propio,1046384.68,2.0,25,2022
Percepciones financieras y de capital,863204.3,1.65,25,2022
Trabajo,4619797.2,48.41,26,2020
Programas sociales y becas,3404063.4800000004,35.67,26,2020
Percepciones financieras y de capital,810490.52,8.49,26,2020
Negocio propio,709179.72,7.43,26,2020
Trabajo,126452644.98,91.58,26,2022
Programas sociales y becas,8025047.98,5.81,26,2022
Percepciones financieras y de capital,3600980.52,2.61,26,2022
Trabajo,59108238.67999999,80.24,26,2024
Programas sociales y becas,7544741.390000001,10.24,26,2024
Percepciones financieras y de capital,4290327.79,5.82,26,2024
Transferencias,2717207.52,3.69,26,2024
Trabajo,259456882.14000002,54.29,27,2020
Programas sociales y becas,92917762.81,19.44,27,2020
Negocio propio,84116343.09,17.6,27,2020
Transferencias,21877426.32,4.58,27,2020
Percepciones financieras y de capital,11716261.84,2.45,27,2020
Renta de la propiedad,7816377.140000001,1.64,27,2020
Trabajo,136315460.47,45.53,27,2022
Programas sociales y becas,74356795.78,24.84,27,2022
Negocio propio,54681443.1,18.27,27,2022
Transferencias,30703407.680000003,10.26,27,2022
Percepciones financieras y de capital,3172938.21,1.06,27,2022
Otros ingresos,134215.9,0.04,27,2022
Trabajo,136147496.22,47.44,27,2024
Programas sociales y becas,104096605.19,36.27,27,2024
Negocio propio,41488932.879999995,14.46,27,2024
Renta de la propiedad,2488693.44,0.87,27,2024
Transferencias,1663029.46,0.58,27,2024
Percepciones financieras y de capital,1118690.97,0.39,27,2024
Trabajo,151063665.69,66.44,28,2020
Percepciones financieras y de capital,37748888.73,16.6,28,2020
Transferencias,17941875.97,7.89,28,2020
Programas sociales y becas,16831693.67,7.4,28,2020
Negocio propio,3786375.53,1.67,28,2020
Trabajo,145214915.43,77.79,28,2024
Programas sociales y becas,38050072.13,20.38,28,2024
Transferencias,1446424.2,0.77,28,2024
Negocio propio,1185744.73,0.64,28,2024
Percepciones financieras y de capital,773314.53,0.41,28,2024
Trabajo,26899747.89,68.71,29,2020
Programas sociales y becas,8354304.66,21.34,29,2020
Negocio propio,1520217.7,3.88,29,2020
Transferencias,1194096.47,3.05,29,2020
Percepciones financieras y de capital,1078473.48,2.75,29,2020
Otros ingresos,100103.20000000001,0.26,29,2020
Trabajo,30101744.41,62.36,29,2022
Programas sociales y becas,13309645.01,27.57,29,2022
Negocio propio,4109460.23,8.51,29,2022
Transferencias,749575.6799999999,1.55,29,2022
Trabajo,37679968.7,49.34,29,2024
Negocio propio,21280460.27,27.87,29,2024
Programas sociales y becas,16482131.95,21.58,29,2024
Percepciones financieras y de capital,513586.5,0.67,29,2024
Transferencias,232336.75,0.3,29,2024
Renta de la propiedad,176086.5,0.23,29,2024
Otros ingresos,1100.25,0.0,29,2024
Trabajo,147872067.95,60.2,30,2020
Programas sociales y becas,64517806.230000004,26.26,30,2020
Transferencias,18250454.97,7.43,30,2020
Negocio propio,9262457.81,3.77,30,2020
Percepciones financieras y de capital,5744510.340000001,2.34,30,2020
Programas sociales y becas,62200052.519999996,51.81,30,2022
Trabajo,43170950.97,35.96,30,2022
Negocio propio,10393381.700000001,8.66,30,2022
Percepciones financieras y de capital,3186932.71,2.65,30,2022
Transferencias,1108025.4000000001,0.92,30,2022
Trabajo,139684648.06,59.15,30,2024
Programas sociales y becas,83511420.84,35.36,30,2024
Negocio propio,6209284.279999999,2.63,30,2024
Percepciones financieras y de capital,4219366.06,1.79,30,2024
Renta de la propiedad,1525053.4200000002,0.65,30,2024
Transferencias,1016702.28,0.43,30,2024
Trabajo,50143310.46,46.42,31,2020
Transferencias,26806321.45,24.81,31,2020
Programas sociales y becas,15184365.790000001,14.06,31,2020
Percepciones financieras y de capital,9294936.99,8.6,31,2020
Negocio propio,6580647.840000001,6.09,31,2020
Otros ingresos,19081.84,0.02,31,2020
Trabajo,61646834.72,68.69,31,2022
Programas sociales y becas,17329733.37,19.31,31,2022
Negocio propio,8747670.29,9.75,31,2022
Transferencias,1311210.0100000002,1.46,31,2022
Percepciones financieras y de capital,703430.78,0.78,31,2022
Otros ingresos,2939.17,0.0,31,2022
Trabajo,23900346.07,68.86,31,2024
Programas sociales y becas,8789426.6,25.33,31,2024
Percepciones financieras y de capital,1925070.41,5.55,31,2024
Renta de la propiedad,51358.3,0.15,31,2024
Negocio propio,39892.35,0.11,31,2024
Otros ingresos,342.29999999999995,0.0,31,2024
Trabajo,47189887.99,68.69,32,2020
Programas sociales y becas,9981718.19,14.53,32,2020
Negocio propio,6228835.32,9.07,32,2020
Renta de la propiedad,2582608.16,3.76,32,2020
Percepciones financieras y de capital,2072948.79,3.02,32,2020
Transferencias,638822.3099999999,0.93,32,2020
Trabajo,36136734.09,42.07,32,2022
Transferencias,21153223.689999998,24.63,32,2022
Programas sociales y becas,19178886.37,22.33,32,2022
Negocio propio,5176782.07,6.03,32,2022
Percepciones financieras y de capital,4254706.109999999,4.95,32,2022
Programas sociales y becas,11330240.4,59.5,32,2024
Negocio propio,3422043.3099999996,17.97,32,2024
Trabajo,2456597.51,12.9,32,2024
Percepciones financieras y de capital,1394426.0,7.32,32,2024
Transferencias,439042.34,2.31,32,2024
