caja,n,cve_ent,año
40-50%,0,16,2024
50-60%,1,16,2024
60-70%,0,16,2024
70-80%,0,16,2024
80-90%,0,16,2024
90-100%,0,16,2024
0-10%,3,17,2020
10-20%,2,17,2020
20-30%,3,17,2020
30-40%,0,17,2020
40-50%,0,17,2020
50-60%,1,17,2020
60-70%,0,17,2020
70-80%,0,17,2020
80-90%,0,17,2020
90-100%,0,17,2020
0-10%,1,17,2022
10-20%,2,17,2022
20-30%,0,17,2022
30-40%,1,17,2022
40-50%,2,17,2022
50-60%,0,17,2022
60-70%,0,17,2022
70-80%,0,17,2022
80-90%,0,17,2022
90-100%,0,17,2022
0-10%,0,17,2024
10-20%,1,17,2024
20-30%,1,17,2024
30-40%,2,17,2024
40-50%,1,17,2024
50-60%,0,17,2024
60-70%,0,17,2024
70-80%,0,17,2024
80-90%,0,17,2024
90-100%,0,17,2024
0-10%,4,18,2020
10-20%,3,18,2020
20-30%,1,18,2020
30-40%,1,18,2020
40-50%,0,18,2020
50-60%,0,18,2020
60-70%,1,18,2020
70-80%,0,18,2020
80-90%,0,18,2020
90-100%,0,18,2020
0-10%,3,18,2022
10-20%,1,18,2022
20-30%,2,18,2022
30-40%,0,18,2022
40-50%,0,18,2022
50-60%,0,18,2022
60-70%,0,18,2022
70-80%,0,18,2022
80-90%,0,18,2022
90-100%,0,18,2022
0-10%,1,18,2024
10-20%,0,18,2024
20-30%,1,18,2024
30-40%,0,18,2024
40-50%,0,18,2024
50-60%,0,18,2024
60-70%,0,18,2024
70-80%,0,18,2024
80-90%,0,18,2024
90-100%,0,18,2024
0-10%,1,19,2020
10-20%,1,19,2020
20-30%,1,19,2020
30-40%,1,19,2020
40-50%,1,19,2020
50-60%,0,19,2020
60-70%,0,19,2020
70-80%,0,19,2020
80-90%,0,19,2020
90-100%,0,19,2020
0-10%,1,19,2024
10-20%,0,19,2024
20-30%,0,19,2024
30-40%,0,19,2024
40-50%,0,19,2024
50-60%,0,19,2024
60-70%,0,19,2024
70-80%,0,19,2024
80-90%,0,19,2024
90-100%,0,19,2024
0-10%,4,20,2020
10-20%,2,20,2020
20-30%,3,20,2020
30-40%,0,20,2020
40-50%,0,20,2020
50-60%,0,20,2020
60-70%,1,20,2020
70-80%,0,20,2020
80-90%,0,20,2020
90-100%,0,20,2020
0-10%,1,20,2022
10-20%,1,20,2022
20-30%,2,20,2022
30-40%,0,20,2022
40-50%,0,20,2022
50-60%,1,20,2022
60-70%,0,20,2022
70-80%,0,20,2022
80-90%,0,20,2022
90-100%,0,20,2022
0-10%,0,21,2020
10-20%,0,21,2020
