clave,monto_exp,pct,programa,decil,cve_ent,año
P101,1246423.2,72.73,Benito Juarez basica,4,17,2020
P108,467409.36,27.27,JCF,4,17,2020
P108,3374311.85,96.64,JCF,5,17,2020
P102,117390.75,3.36,BJ media superior,5,17,2020
P108,1537335.7999999998,68.51,JCF,8,17,2020
P104,706694.7999999999,31.49,Adultos mayores,8,17,2020
P108,653279.0599999999,100.0,JCF,9,17,2020
P108,6280737.9,78.37,JCF,3,17,2022
P104,1733069.6199999999,21.63,Adultos mayores,3,17,2022
P108,5729168.5600000005,100.0,JCF,5,17,2022
P102,776346.64,60.38,BJ media superior,6,17,2022
P108,509476.32000000007,39.62,JCF,6,17,2022
P108,3312242.73,100.0,JCF,4,17,2024
P108,7439670.680000001,100.0,JCF,5,17,2024
P108,11906908.4,100.0,JCF,6,17,2024
P108,17810460.689999998,57.87,JCF,9,17,2024
P104,8549014.14,27.78,Adultos mayores,9,17,2024
P105,4416991.609999999,14.35,Discapacidad,9,17,2024
P108,1006718.1599999999,100.0,JCF,2,18,2020
P108,1925611.28,82.03,JCF,6,18,2020
P104,421712.88,17.97,Adultos mayores,6,18,2020
P102,291031.5,50.72,BJ media superior,7,18,2020
P108,282716.8,49.28,JCF,7,18,2020
P108,2421885.18,100.0,JCF,8,18,2020
P108,2838571.41,100.0,JCF,10,18,2020
P108,3345048.68,100.0,JCF,6,18,2022
P108,4335090.17,100.0,JCF,8,18,2022
P108,563735.7000000001,100.0,JCF,5,18,2024
P108,4379345.6,100.0,JCF,7,18,2024
P108,7475405.6,80.0,JCF,6,19,2020
P104,1868847.6,20.0,Adultos mayores,6,19,2020
P108,2043992.58,92.75,JCF,7,19,2020
P101,84521.34,3.84,Benito Juarez basica,7,19,2020
P048,75245.40000000001,3.41,Otros programas sociales,7,19,2020
P108,4322945.44,100.0,JCF,8,19,2020
P108,456626.16,29.87,JCF,9,19,2020
P045,419775.20999999996,27.46,Otros adultos mayores,9,19,2020
P104,419775.20999999996,27.46,Adultos mayores,9,19,2020
P102,232318.53,15.2,BJ media superior,9,19,2020
P108,330162.75,68.18,JCF,9,19,2024
P102,110054.25,22.73,BJ media superior,9,19,2024
P048,44021.7,9.09,Otros programas sociales,9,19,2024
P108,990780.04,100.0,JCF,3,20,2020
P108,1288916.72,100.0,JCF,4,20,2020
P108,2884299.6,100.0,JCF,6,20,2020
P108,7922219.76,88.93,JCF,7,20,2020
P102,754424.15,8.47,BJ media superior,7,20,2020
P101,232129.6,2.61,Benito Juarez basica,7,20,2020
P108,6455075.760000001,100.0,JCF,8,20,2020
P102,1562084.5699999998,57.14,BJ media superior,9,20,2020
P108,1171562.1800000002,42.86,JCF,9,20,2020
P108,1203425.3399999999,100.0,JCF,10,20,2020
P108,2135953.4,68.66,JCF,1,20,2022
P101,974948.4500000001,31.34,Benito Juarez basica,1,20,2022
P108,6934422.3,100.0,JCF,2,20,2022
P108,4334084.24,100.0,JCF,3,20,2022
P108,2257490.6999999997,67.2,JCF,5,20,2022
P104,1101982.08,32.8,Adultos mayores,5,20,2022
P108,2572719.25,100.0,JCF,9,20,2022
P108,3511444.59,100.0,JCF,5,21,2020
P108,935801.7599999999,100.0,JCF,5,22,2020
P108,1031575.74,100.0,JCF,6,22,2020
P108,920493.87,100.0,JCF,7,22,2020
P108,1883084.0300000003,87.99,JCF,8,22,2020
P104,257016.02,12.01,Adultos mayores,8,22,2020
P108,2281965.92,100.0,JCF,7,22,2022
P108,251216.74000000002,100.0,JCF,9,22,2022
P108,1244301.52,100.0,JCF,6,22,2024
P108,1254619.02,83.33,JCF,9,22,2024
P105,250923.69,16.67,Discapacidad,9,22,2024
P108,1681966.64,100.0,JCF,10,22,2024
P108,5817811.29,91.3,JCF,2,23,2020
P102,420922.39,6.61,BJ media superior,2,23,2020
P043,68241.0,1.07,PROCAMPO/ProAgro,2,23,2020
P048,65052.96,1.02,Otros programas sociales,2,23,2020
P108,902556.3200000001,82.22,JCF,3,23,2020
P043,195147.48,17.78,PROCAMPO/ProAgro,3,23,2020
P108,2072541.85,83.02,JCF,4,23,2020
P105,266917.92,10.69,Discapacidad,4,23,2020
P101,157010.73,6.29,Benito Juarez basica,4,23,2020
P108,7748694.74,79.78,JCF,6,23,2020
P101,1383029.65,14.24,Benito Juarez basica,6,23,2020
P102,392438.92,4.04,BJ media superior,6,23,2020
P043,188306.79,1.94,PROCAMPO/ProAgro,6,23,2020
P108,5260448.98,88.26,JCF,8,23,2020
P104,699427.6000000001,11.74,Adultos mayores,8,23,2020
P108,1596520.96,94.1,JCF,2,23,2022
P101,100172.8,5.9,Benito Juarez basica,2,23,2022
P108,1975178.24,100.0,JCF,3,23,2022
P108,2482464.0,82.44,JCF,6,23,2022
P101,528785.6,17.56,Benito Juarez basica,6,23,2022
P108,3276911.86,73.18,JCF,7,23,2022
P045,907557.0399999999,20.27,Otros adultos mayores,7,23,2022
P101,293477.5,6.55,Benito Juarez basica,7,23,2022
P108,4004260.9000000004,100.0,JCF,8,23,2022
P108,2052333.64,86.56,JCF,9,23,2022
P103,318765.09,13.44,Jov Escribiendo,9,23,2022
P108,6078898.619999999,100.0,JCF,10,23,2022
P043,809999.28,34.48,PROCAMPO/ProAgro,2,23,2024
P105,627749.58,26.72,Discapacidad,2,23,2024
P108,506248.86,21.55,JCF,2,23,2024
P048,404999.64,17.24,Otros programas sociales,2,23,2024
P108,4104771.14,84.64,JCF,3,23,2024
P102,745197.24,15.36,BJ media superior,3,23,2024
P108,1151607.89,100.0,JCF,4,23,2024
P108,3066659.46,100.0,JCF,5,23,2024
P108,2303215.78,81.97,JCF,9,23,2024
P048,319891.02,11.39,Otros programas sociales,9,23,2024
P102,186602.55000000002,6.64,BJ media superior,9,23,2024
P108,2399183.7399999998,78.4,JCF,10,23,2024
P043,367873.91,12.02,PROCAMPO/ProAgro,10,23,2024
P102,293232.89,9.58,BJ media superior,10,23,2024
P108,1938863.94,100.0,JCF,4,24,2020
P108,4551583.08,79.44,JCF,7,24,2020
P043,1177865.79,20.56,PROCAMPO/ProAgro,7,24,2020
P108,873744.78,100.0,JCF,2,24,2022
P108,4020491.1599999997,100.0,JCF,5,24,2024
P104,1127211.33,66.67,Adultos mayores,7,24,2024
P043,563604.71,33.33,PROCAMPO/ProAgro,7,24,2024
P108,867227.49,100.0,JCF,9,24,2024
P108,645982.85,53.62,JCF,6,25,2020
P102,558688.35,46.38,BJ media superior,6,25,2020
P108,2902376.8400000003,100.0,JCF,8,25,2020
P048,80216.5,100.0,Otros programas sociales,9,25,2020
P108,2160879.31,100.0,JCF,10,25,2020
P108,971103.2100000001,42.37,JCF,6,25,2022
P048,776883.87,33.9,Otros programas sociales,6,25,2022
P101,543817.1900000001,23.73,Benito Juarez basica,6,25,2022
P108,1753531.05,56.5,JCF,7,25,2022
P104,1350218.55,43.5,Adultos mayores,7,25,2022
P108,5707561.640000001,81.68,JCF,8,25,2022
P043,1280542.3399999999,18.32,PROCAMPO/ProAgro,8,25,2022
P108,1945179.7200000002,57.14,JCF,3,26,2020
