cve_ent,nivel,sexo,edad,personas,año
03,Media superior,FEMENINO,18,55,2022
03,Media superior,FEMENINO,20,132,2022
03,Superior,FEMENINO,25,112,2022
04,Media superior,FEMENINO,19,133,2022
04,Media superior,FEMENINO,20,129,2022
04,Media superior,FEMENINO,25,158,2022
04,Media superior,FEMENINO,26,138,2022
04,Media superior,FEMENINO,27,110,2022
04,Media superior,MASCULINO,28,159,2022
04,Media superior,MASCULINO,29,154,2022
04,Primaria,FEMENINO,19,139,2022
04,Secundaria,FEMENINO,26,151,2022
04,Secundaria,FEMENINO,28,144,2022
04,Secundaria,MASCULINO,23,159,2022
04,Secundaria,MASCULINO,29,168,2022
04,Superior,FEMENINO,24,142,2022
05,Secundaria,FEMENINO,18,263,2022
06,Media superior,FEMENINO,25,52,2022
06,Secundaria,FEMENINO,22,25,2022
06,Secundaria,FEMENINO,23,93,2022
06,Secundaria,MASCULINO,26,23,2022
06,Superior,FEMENINO,23,79,2022
06,Superior,FEMENINO,24,79,2022
07,Media superior,FEMENINO,18,930,2022
07,Media superior,FEMENINO,19,775,2022
07,Media superior,FEMENINO,20,626,2022
07,Media superior,FEMENINO,24,695,2022
07,Media superior,FEMENINO,26,590,2022
07,Media superior,MASCULINO,20,775,2022
07,Media superior,MASCULINO,28,695,2022
07,Primaria,FEMENINO,21,695,2022
07,Secundaria,FEMENINO,29,551,2022
08,Media superior,FEMENINO,24,97,2022
08,Media superior,FEMENINO,25,115,2022
08,Secundaria,FEMENINO,29,71,2022
08,Secundaria,MASCULINO,28,115,2022
09,Media superior,FEMENINO,19,1853,2022
09,Secundaria,MASCULINO,19,32,2022
10,Media superior,FEMENINO,19,126,2022
10,Media superior,FEMENINO,25,108,2022
10,Media superior,MASCULINO,23,343,2022
10,Media superior,MASCULINO,26,128,2022
10,Secundaria,FEMENINO,21,108,2022
10,Secundaria,FEMENINO,23,121,2022
10,Secundaria,FEMENINO,28,183,2022
10,Secundaria,MASCULINO,29,99,2022
10,Superior,FEMENINO,21,147,2022
10,Superior,FEMENINO,24,231,2022
10,Superior,MASCULINO,23,235,2022
11,Superior,FEMENINO,21,572,2022
11,Superior,MASCULINO,25,1408,2022
12,Media superior,FEMENINO,20,666,2022
12,Media superior,FEMENINO,21,502,2022
12,Media superior,FEMENINO,26,502,2022
12,Primaria,FEMENINO,58,364,2022
12,Secundaria,FEMENINO,22,392,2022
12,Secundaria,FEMENINO,24,324,2022
12,Secundaria,MASCULINO,22,382,2022
12,Superior,FEMENINO,29,407,2022
12,Superior,MASCULINO,25,415,2022
13,Superior,FEMENINO,26,453,2022
14,Media superior,FEMENINO,28,961,2022
15,Media superior,MASCULINO,18,352,2022
15,Media superior,MASCULINO,20,1846,2022
15,Primaria,MASCULINO,23,446,2022
16,Media superior,MASCULINO,19,1272,2022
16,Primaria,MASCULINO,28,740,2022
16,Secundaria,FEMENINO,21,654,2022
16,Secundaria,FEMENINO,27,694,2022
16,Secundaria,FEMENINO,28,740,2022
17,Media superior,FEMENINO,19,314,2022
17,Media superior,FEMENINO,21,153,2022
17,Media superior,FEMENINO,24,152,2022
17,Secundaria,FEMENINO,24,307,2022
17,Secundaria,FEMENINO,25,278,2022
17,Secundaria,MASCULINO,25,278,2022
17,Superior,MASCULINO,22,248,2022
18,Media superior,FEMENINO,21,188,2022
18,Media superior,FEMENINO,24,192,2022
18,Media superior,FEMENINO,27,218,2022
18,Media superior,MASCULINO,19,167,2022
18,Media superior,MASCULINO,22,171,2022
18,Media superior,MASCULINO,27,192,2022
20,Media superior,FEMENINO,19,291,2022
20,Media superior,FEMENINO,23,568,2022
20,Secundaria,FEMENINO,24,470,2022
20,Secundaria,MASCULINO,24,413,2022
20,Superior,FEMENINO,24,503,2022
22,Media superior,FEMENINO,23,232,2022
22,Primaria,MASCULINO,19,107,2022
23,Media superior,FEMENINO,21,262,2022
23,Media superior,FEMENINO,25,160,2022
23,Media superior,FEMENINO,26,133,2022
23,Media superior,MASCULINO,18,201,2022
23,Media superior,MASCULINO,20,140,2022
23,Media superior,MASCULINO,23,125,2022
23,Secundaria,FEMENINO,28,189,2022
23,Secundaria,MASCULINO,23,128,2022
23,Superior,MASCULINO,26,399,2022
24,Superior,MASCULINO,19,382,2022
25,Media superior,FEMENINO,20,374,2022
25,Secundaria,FEMENINO,18,217,2022
25,Secundaria,FEMENINO,24,239,2022
26,Secundaria,FEMENINO,25,523,2022
27,Media superior,FEMENINO,19,695,2022
27,Media superior,FEMENINO,24,369,2022
27,Media superior,FEMENINO,27,504,2022
27,Media superior,MASCULINO,19,1054,2022
27,Media superior,MASCULINO,20,329,2022
27,Media superior,MASCULINO,25,273,2022
27,Secundaria,FEMENINO,20,289,2022
27,Secundaria,FEMENINO,27,720,2022
27,Superior,FEMENINO,23,306,2022
27,Superior,FEMENINO,24,334,2022
27,Superior,MASCULINO,26,362,2022
29,Media superior,FEMENINO,19,119,2022
29,Media superior,FEMENINO,20,167,2022
29,Media superior,FEMENINO,24,140,2022
29,Media superior,MASCULINO,19,150,2022
29,Media superior,MASCULINO,25,155,2022
29,Secundaria,FEMENINO,22,173,2022
29,Secundaria,MASCULINO,19,119,2022
29,Secundaria,MASCULINO,25,173,2022
29,Secundaria,MASCULINO,28,222,2022
30,Media superior,FEMENINO,23,538,2022
30,Media superior,FEMENINO,26,685,2022
30,Media superior,FEMENINO,29,1988,2022
30,Secundaria,MASCULINO,29,751,2022
31,Media superior,FEMENINO,19,256,2022
31,Media superior,FEMENINO,20,194,2022
31,Media superior,FEMENINO,25,299,2022
31,Media superior,FEMENINO,26,107,2022
31,Secundaria,FEMENINO,25,114,2022
31,Secundaria,FEMENINO,28,269,2022
31,Secundaria,MASCULINO,27,293,2022
32,Media superior,FEMENINO,23,226,2022
32,Media superior,FEMENINO,25,349,2022
32,Media superior,FEMENINO,27,221,2022
32,Media superior,FEMENINO,28,185,2022
32,Media superior,FEMENINO,29,179,2022
32,Media superior,MASCULINO,22,92,2022
32,Secundaria,FEMENINO,23,185,2022
32,Secundaria,MASCULINO,21,183,2022
32,Secundaria,MASCULINO,23,195,2022
32,Superior,FEMENINO,23,124,2022
03,Media superior,FEMENINO,20,26,2024
04,Secundaria,FEMENINO,19,123,2024
04,Secundaria,MASCULINO,23,132,2024
06,Media superior,FEMENINO,22,16,2024
06,Media superior,FEMENINO,24,108,2024
06,Media superior,FEMENINO,26,16,2024
06,Secundaria,FEMENINO,25,17,2024
07,Media superior,MASCULINO,23,732,2024
08,Secundaria,FEMENINO,21,102,2024
10,Superior,FEMENINO,22,260,2024
10,Superior,FEMENINO,24,101,2024
11,Superior,FEMENINO,21,279,2024
12,Media superior,FEMENINO,20,453,2024
12,Media superior,FEMENINO,27,435,2024
12,Primaria,MASCULINO,19,316,2024
12,Secundaria,MASCULINO,24,832,2024
12,Superior,FEMENINO,23,435,2024
12,Superior,FEMENINO,24,316,2024
12,Superior,MASCULINO,25,492,2024
15,Media superior,FEMENINO,20,415,2024
15,Media superior,MASCULINO,22,929,2024
15,Superior,FEMENINO,21,415,2024
15,Superior,MASCULINO,24,337,2024
16,Primaria,FEMENINO,27,466,2024
16,Primaria,FEMENINO,29,466,2024
16,Secundaria,FEMENINO,25,585,2024
17,Media superior,FEMENINO,25,269,2024
17,Media superior,MASCULINO,28,269,2024
17,Secundaria,FEMENINO,24,269,2024
17,Secundaria,FEMENINO,25,971,2024
17,Secundaria,MASCULINO,23,338,2024
17,Secundaria,MASCULINO,24,269,2024
18,Media superior,FEMENINO,22,196,2024
18,Media superior,FEMENINO,27,190,2024
19,Media superior,FEMENINO,20,45,2024
22,Secundaria,FEMENINO,19,132,2024
22,Secundaria,FEMENINO,29,57,2024
23,Media superior,FEMENINO,21,218,2024
23,Media superior,FEMENINO,22,138,2024
23,Media superior,FEMENINO,28,109,2024
23,Media superior,MASCULINO,20,109,2024
23,Media superior,MASCULINO,22,138,2024
23,Primaria,FEMENINO,26,109,2024
23,Secundaria,FEMENINO,22,138,2024
23,Superior,FEMENINO,25,271,2024
23,Superior,MASCULINO,23,109,2024
24,Media superior,FEMENINO,26,191,2024
24,Superior,FEMENINO,22,197,2024
24,Superior,FEMENINO,25,218,2024
26,Media superior,MASCULINO,23,524,2024
26,Secundaria,FEMENINO,22,241,2024
27,Media superior,FEMENINO,18,229,2024
27,Media superior,FEMENINO,19,653,2024
27,Media superior,FEMENINO,23,424,2024
27,Media superior,FEMENINO,25,234,2024
27,Media superior,MASCULINO,18,304,2024
27,Media superior,MASCULINO,28,424,2024
27,Primaria,FEMENINO,20,278,2024
27,Primaria,FEMENINO,21,453,2024
27,Primaria,FEMENINO,29,409,2024
27,Secundaria,FEMENINO,19,227,2024
27,Secundaria,FEMENINO,22,234,2024
27,Secundaria,FEMENINO,23,234,2024
27,Secundaria,FEMENINO,27,388,2024
27,Secundaria,MASCULINO,19,111,2024
27,Superior,FEMENINO,20,388,2024
27,Superior,FEMENINO,23,229,2024
27,Superior,FEMENINO,26,907,2024
28,Media superior,MASCULINO,28,585,2024
28,Primaria,FEMENINO,20,193,2024
28,Secundaria,FEMENINO,28,602,2024
28,Secundaria,FEMENINO,29,527,2024
29,Media superior,FEMENINO,19,75,2024
29,Media superior,FEMENINO,20,309,2024
29,Media superior,MASCULINO,21,75,2024
29,Secundaria,FEMENINO,20,95,2024
29,Secundaria,FEMENINO,21,258,2024
29,Secundaria,FEMENINO,25,211,2024
30,Media superior,FEMENINO,19,2889,2024
30,Media superior,MASCULINO,20,1048,2024
30,Media superior,MASCULINO,23,569,2024
30,Secundaria,FEMENINO,20,523,2024
30,Secundaria,FEMENINO,27,1108,2024
31,Media superior,FEMENINO,22,70,2024
31,Media superior,MASCULINO,19,77,2024
31,Secundaria,MASCULINO,20,69,2024
31,Superior,FEMENINO,27,363,2024
32,Secundaria,FEMENINO,29,161,2024
32,Secundaria,MASCULINO,22,187,2024
32,Superior,FEMENINO,23,202,2024
32,Superior,FEMENINO,28,262,2024
