cve_ent,cve_mun,edad,sexo,poblacion
02,02003,29,MASCULINO,44
02,02004,18,FEMENINO,4994
02,02004,18,MASCULINO,3663
02,02004,19,FEMENINO,4971
02,02004,19,MASCULINO,3295
02,02004,20,FEMENINO,6001
02,02004,20,MASCULINO,3990
02,02004,21,FEMENINO,5848
02,02004,21,MASCULINO,2535
02,02004,22,FEMENINO,6419
02,02004,22,MASCULINO,2312
02,02004,23,FEMENINO,5534
02,02004,23,MASCULINO,2211
02,02004,24,FEMENINO,5902
02,02004,24,MASCULINO,2411
02,02004,25,FEMENINO,5948
02,02004,25,MASCULINO,1948
02,02004,26,FEMENINO,6459
02,02004,26,MASCULINO,1847
02,02004,27,FEMENINO,6504
02,02004,27,MASCULINO,1549
02,02004,28,FEMENINO,5732
02,02004,28,MASCULINO,1379
02,02004,29,FEMENINO,5302
02,02004,29,MASCULINO,1464
02,02005,18,FEMENINO,357
02,02005,18,MASCULINO,402
02,02005,19,FEMENINO,358
02,02005,19,MASCULINO,184
02,02005,20,FEMENINO,458
02,02005,20,MASCULINO,306
02,02005,21,FEMENINO,354
02,02005,21,MASCULINO,172
02,02005,22,FEMENINO,358
02,02005,22,MASCULINO,221
02,02005,23,FEMENINO,398
02,02005,23,MASCULINO,163
02,02005,24,FEMENINO,499
02,02005,24,MASCULINO,117
02,02005,25,FEMENINO,415
02,02005,25,MASCULINO,263
02,02005,26,FEMENINO,459
02,02005,26,MASCULINO,200
02,02005,27,FEMENINO,392
02,02005,27,MASCULINO,53
02,02005,28,FEMENINO,573
02,02005,28,MASCULINO,161
02,02005,29,FEMENINO,552
02,02005,29,MASCULINO,80
02,02006,18,FEMENINO,104
02,02006,18,MASCULINO,221
02,02006,19,FEMENINO,548
02,02006,19,MASCULINO,327
02,02006,20,FEMENINO,361
02,02006,20,MASCULINO,206
02,02006,21,FEMENINO,399
02,02006,21,MASCULINO,79
02,02006,22,FEMENINO,562
02,02006,22,MASCULINO,77
02,02006,23,FEMENINO,720
02,02006,24,FEMENINO,680
02,02006,24,MASCULINO,26
02,02006,25,FEMENINO,548
02,02006,25,MASCULINO,240
02,02006,26,FEMENINO,525
02,02006,26,MASCULINO,26
02,02006,27,FEMENINO,677
02,02006,27,MASCULINO,12
02,02006,28,FEMENINO,515
02,02006,28,MASCULINO,77
02,02006,29,FEMENINO,508
02,02006,29,MASCULINO,169
03,03001,18,FEMENINO,80
03,03001,18,MASCULINO,8
03,03001,19,FEMENINO,225
03,03001,19,MASCULINO,161
03,03001,20,FEMENINO,158
03,03001,20,MASCULINO,82
03,03001,21,FEMENINO,155
03,03001,21,MASCULINO,87
03,03001,22,FEMENINO,300
03,03001,22,MASCULINO,117
03,03001,23,FEMENINO,197
03,03001,23,MASCULINO,150
03,03001,24,FEMENINO,215
03,03001,24,MASCULINO,85
03,03001,25,FEMENINO,335
03,03001,25,MASCULINO,114
03,03001,26,FEMENINO,114
03,03001,26,MASCULINO,115
03,03001,27,FEMENINO,158
03,03001,27,MASCULINO,71
03,03001,28,FEMENINO,283
03,03001,28,MASCULINO,96
03,03001,29,FEMENINO,297
03,03001,29,MASCULINO,31
03,03002,18,FEMENINO,154
03,03002,18,MASCULINO,131
03,03002,19,FEMENINO,196
03,03002,19,MASCULINO,107
03,03002,20,FEMENINO,119
03,03002,20,MASCULINO,68
03,03002,21,FEMENINO,181
03,03002,21,MASCULINO,130
03,03002,22,FEMENINO,246
03,03002,22,MASCULINO,61
03,03002,23,FEMENINO,302
03,03002,23,MASCULINO,82
03,03002,24,FEMENINO,250
03,03002,24,MASCULINO,43
03,03002,25,FEMENINO,118
03,03002,25,MASCULINO,49
03,03002,26,FEMENINO,260
03,03002,26,MASCULINO,64
03,03002,27,FEMENINO,202
03,03002,27,MASCULINO,51
03,03002,28,FEMENINO,182
