año,cve_mun,cve_ent,candidatos_estimados,beneficiarios,tasa
2024,04004,04,5354,1519,0.28371311169219277
2025,04004,04,5331,1202,0.2254736447195648
2019,04005,04,1918,1624,0.8467153284671532
2020,04005,04,1897,2283,1.2034791776489193
2021,04005,04,1881,1819,0.9670388091440723
2022,04005,04,1865,1222,0.6552278820375335
2023,04005,04,1850,687,0.37135135135135133
2024,04005,04,1839,382,0.2077215878194671
2025,04005,04,1831,367,0.2004369197160022
2019,04006,04,3157,1535,0.48622109597719354
2020,04006,04,3122,2741,0.8779628443305574
2021,04006,04,3096,2388,0.7713178294573644
2022,04006,04,3069,1285,0.4187031606386445
2023,04006,04,3045,1348,0.4426929392446634
2024,04006,04,3026,984,0.325181758096497
2025,04006,04,3013,772,0.25622303352140724
2019,04007,04,528,1467,2.778409090909091
2020,04007,04,522,2137,4.093869731800766
2021,04007,04,518,763,1.472972972972973
2022,04007,04,513,312,0.6081871345029239
2023,04007,04,509,336,0.6601178781925344
2024,04007,04,506,176,0.34782608695652173
2025,04007,04,504,143,0.2837301587301587
2019,04008,04,663,1345,2.028657616892911
2020,04008,04,656,1461,2.2271341463414633
2021,04008,04,650,555,0.8538461538461538
2022,04008,04,645,385,0.5968992248062015
2023,04008,04,640,240,0.375
2024,04008,04,636,110,0.17295597484276728
2025,04008,04,633,118,0.18641390205371247
2019,04009,04,4447,2063,0.4639082527546661
2020,04009,04,4398,2630,0.5979990904956799
2021,04009,04,4361,2253,0.5166246273790415
2022,04009,04,4324,1708,0.395004625346901
2023,04009,04,4290,1417,0.3303030303030303
2024,04009,04,4263,786,0.18437719915552428
2025,04009,04,4245,793,0.18680800942285042
2019,04010,04,2742,1253,0.45696571845368344
2020,04010,04,2712,1529,0.5637905604719764
2021,04010,04,2689,2197,0.8170323540349572
2022,04010,04,2666,1624,0.609152288072018
2023,04010,04,2646,1250,0.47241118669690096
2024,04010,04,2629,530,0.201597565614302
2025,04010,04,2618,409,0.1562261268143621
2019,04011,04,4050,1834,0.4528395061728395
2020,04011,04,4006,2529,0.6313030454318522
2021,04011,04,3972,2727,0.6865558912386707
2022,04011,04,3938,2032,0.515997968511935
2023,04011,04,3908,2068,0.5291709314227226
2024,04011,04,3883,1483,0.38192119495235644
2025,04011,04,3867,1027,0.2655805534005689
2019,05001,05,43,5,0.11627906976744186
2020,05001,05,43,7,0.16279069767441862
2021,05001,05,43,4,0.09302325581395349
2022,05001,05,43,1,0.023255813953488372
2023,05001,05,44,0,0.0
2024,05001,05,44,1,0.022727272727272728
2025,05001,05,44,2,0.045454545454545456
2019,05002,05,9649,111,0.01150378277541714
2020,05002,05,9733,97,0.009966094729271551
2021,05002,05,9787,82,0.00837846122407275
2022,05002,05,9823,81,0.00824595337473277
2023,05002,05,9847,58,0.005890118817914085
2024,05002,05,9866,34,0.0034461787958645854
2025,05002,05,9885,174,0.017602427921092564
2019,05003,05,1598,23,0.014392991239048811
2020,05003,05,1612,26,0.016129032258064516
2021,05003,05,1621,10,0.006169031462060457
2022,05003,05,1627,40,0.024585125998770743
2023,05003,05,1631,87,0.05334150827713059
2024,05003,05,1634,49,0.029987760097919217
2025,05003,05,1637,101,0.06169822846670739
2019,05004,05,1840,56,0.030434782608695653
2020,05004,05,1856,70,0.03771551724137931
2021,05004,05,1866,53,0.02840300107181136
2022,05004,05,1873,34,0.018152696209289908
2023,05004,05,1878,26,0.013844515441959531
2024,05004,05,1881,10,0.00531632110579479
2025,05004,05,1885,7,0.003713527851458886
2019,05005,05,111,45,0.40540540540540543
2020,05005,05,112,40,0.35714285714285715
2021,05005,05,113,29,0.25663716814159293
2022,05005,05,113,28,0.24778761061946902
2023,05005,05,113,14,0.12389380530973451
2024,05005,05,114,6,0.05263157894736842
2025,05005,05,114,7,0.06140350877192982
2019,05006,05,1981,68,0.034326097930338216
2020,05006,05,1998,74,0.037037037037037035
2021,05006,05,2009,47,0.0233947237431558
2022,05006,05,2016,27,0.013392857142857142
2023,05006,05,2021,51,0.025235032162295893
2024,05006,05,2025,36,0.017777777777777778
2025,05006,05,2029,77,0.03794972893050764
2019,05007,05,883,27,0.030577576443941108
2020,05007,05,891,27,0.030303030303030304
2021,05007,05,896,8,0.008928571428571428
2022,05007,05,899,35,0.0389321468298109
2023,05007,05,901,32,0.03551609322974473
2024,05007,05,903,25,0.02768549280177187
2025,05007,05,905,40,0.04419889502762431
2019,05008,05,232,12,0.05172413793103448
2020,05008,05,234,26,0.1111111111111111
2021,05008,05,235,15,0.06382978723404255
2022,05008,05,236,7,0.029661016949152543
2023,05008,05,237,19,0.08016877637130802
2024,05008,05,237,11,0.046413502109704644
2025,05008,05,238,18,0.07563025210084033
2019,05009,05,4061,368,0.09061807436591972
2020,05009,05,4096,481,0.117431640625
2021,05009,05,4119,564,0.1369264384559359
2022,05009,05,4134,458,0.1107885824866957
2023,05009,05,4144,570,0.13754826254826255
2024,05009,05,4152,335,0.0806840077071291
2025,05009,05,4160,421,0.10120192307692308
2019,05010,05,5190,111,0.02138728323699422
2020,05010,05,5235,156,0.02979942693409742
2021,05010,05,5264,180,0.03419452887537994
2022,05010,05,5283,169,0.03198939996214272
2023,05010,05,5296,104,0.019637462235649546
2024,05010,05,5306,55,0.010365623822088202
2025,05010,05,5317,144,0.02708294150836938
2019,05011,05,879,65,0.07394766780432309
2020,05011,05,887,80,0.09019165727170236
2021,05011,05,892,84,0.09417040358744394
2022,05011,05,895,44,0.049162011173184354
2023,05011,05,897,20,0.022296544035674472
2024,05011,05,899,16,0.017797552836484983
2025,05011,05,901,18,0.01997780244173141
2019,05012,05,109,8,0.07339449541284404
2020,05012,05,110,8,0.07272727272727272
2021,05012,05,111,3,0.02702702702702703
2022,05012,05,111,0,0.0
2023,05012,05,111,0,0.0
2024,05012,05,111,0,0.0
2025,05012,05,112,0,0.0
2019,05013,05,115,3,0.02608695652173913
2020,05013,05,116,3,0.02586206896551724
2021,05013,05,117,3,0.02564102564102564
2022,05013,05,117,0,0.0
2023,05013,05,117,12,0.10256410256410256
2024,05013,05,118,4,0.03389830508474576
2025,05013,05,118,3,0.025423728813559324
2019,05014,05,635,21,0.03307086614173228
2020,05014,05,641,36,0.056162246489859596
2021,05014,05,645,27,0.04186046511627907
2022,05014,05,647,8,0.012364760432766615
2023,05014,05,649,2,0.0030816640986132513
2024,05014,05,650,0,0.0
2025,05014,05,651,5,0.007680491551459293
2019,05015,05,105,21,0.2
2020,05015,05,106,18,0.16981132075471697
2021,05015,05,107,14,0.1308411214953271
2022,05015,05,107,4,0.037383177570093455
2023,05015,05,107,25,0.2336448598130841
2024,05015,05,107,28,0.2616822429906542
2025,05015,05,108,38,0.35185185185185186
2019,05016,05,107,4,0.037383177570093455
2020,05016,05,108,5,0.046296296296296294
2021,05016,05,109,5,0.045871559633027525
2022,05016,05,109,1,0.009174311926605505
2023,05016,05,109,1,0.009174311926605505
2024,05016,05,109,3,0.027522935779816515
2025,05016,05,110,0,0.0
2019,05017,05,7193,495,0.06881690532462116
2020,05017,05,7255,541,0.07456926257753274
2021,05017,05,7295,414,0.05675119945167923
2022,05017,05,7322,319,0.04356733133023764
2023,05017,05,7340,333,0.04536784741144414
2024,05017,05,7354,180,0.024476475387544192
2025,05017,05,7368,261,0.035423452768729644
2019,05018,05,13784,286,0.020748694138131168
2020,05018,05,13903,389,0.027979572754081854
2021,05018,05,13980,355,0.025393419170243205
2022,05018,05,14031,291,0.020739790463972632
2023,05018,05,14066,243,0.017275700270154983
2024,05018,05,14092,137,0.009721827987510645
2025,05018,05,14120,327,0.023158640226628894
2019,05019,05,440,7,0.015909090909090907
2020,05019,05,444,8,0.018018018018018018
2021,05019,05,446,7,0.01569506726457399
2022,05019,05,448,16,0.03571428571428571
2023,05019,05,449,32,0.07126948775055679
2024,05019,05,450,23,0.051111111111111114
2025,05019,05,451,37,0.082039911308204
2019,05020,05,5035,364,0.07229394240317775
2020,05020,05,5079,462,0.09096278795038393
2021,05020,05,5107,302,0.05913452124534952
2022,05020,05,5126,310,0.060476004682013265
2023,05020,05,5138,344,0.06695212144803425
2024,05020,05,5148,240,0.046620046620046623
2025,05020,05,5158,470,0.09112058937572702
2019,05021,05,424,11,0.025943396226415096
2020,05021,05,428,12,0.028037383177570093
2021,05021,05,430,2,0.004651162790697674
2022,05021,05,432,8,0.018518518518518517
2023,05021,05,433,13,0.03002309468822171
2024,05021,05,434,5,0.01152073732718894
2025,05021,05,435,2,0.004597701149425287
2019,05022,05,2535,8,0.003155818540433925
2020,05022,05,2557,13,0.005084082909659757
2021,05022,05,2571,10,0.0038895371450797353
2022,05022,05,2581,15,0.00581170089112747
2023,05022,05,2587,26,0.010050251256281407
2024,05022,05,2592,23,0.008873456790123456
2025,05022,05,2597,85,0.03273007316134001
2019,05023,05,736,9,0.012228260869565218
2020,05023,05,742,15,0.02021563342318059
2021,05023,05,746,17,0.022788203753351208
2022,05023,05,749,47,0.06275033377837116
2023,05023,05,751,58,0.07723035952063914
2024,05023,05,752,36,0.047872340425531915
