año,cve_ent,grupo,ing_pc_real_prom
2024,05,candidato,19882.81273036188
2024,06,candidato,19960.462410833774
2024,06,con beca,34427.08461995755
2024,07,candidato,8984.026516161508
2024,07,con beca,6559.553333333333
2024,08,candidato,21663.384070501674
2024,08,con beca,37155.73
2024,09,candidato,21924.323767321366
2024,10,candidato,15193.261984623929
2024,10,con beca,33291.25891966758
2024,11,candidato,15391.909838990017
2024,11,con beca,17114.005
2024,12,candidato,9775.750831631776
2024,12,con beca,18136.443427684015
2024,13,candidato,14060.151266772607
2024,14,candidato,18410.28083300894
2024,15,candidato,15962.590429069107
2024,15,con beca,13633.240976849098
2024,16,candidato,14389.998954678715
2024,16,con beca,12572.897509514747
2024,17,candidato,14212.647898956722
2024,17,con beca,12545.45982001387
2024,18,candidato,16092.08777034309
2024,18,con beca,19138.090211571674
2024,19,candidato,22830.666080351446
2024,19,con beca,14063.08875
2024,20,candidato,11888.672323867584
2024,21,candidato,12528.442445269051
2024,22,candidato,19377.313585863994
2024,22,con beca,21659.023054295794
2024,23,candidato,20926.59259118585
2024,23,con beca,17218.504822746698
2024,24,candidato,13336.542602945827
2024,24,con beca,11903.488630775577
2024,25,candidato,20205.145921222163
2024,26,candidato,22114.12102566468
2024,26,con beca,21782.66848039216
2024,27,candidato,14598.329663851348
2024,27,con beca,13821.41524486697
2024,28,candidato,17899.565506545277
2024,28,con beca,30200.37408932005
2024,29,candidato,12567.572616220645
2024,29,con beca,17362.741432922212
2024,30,candidato,12612.232890612811
2024,30,con beca,11619.04745333923
2024,31,candidato,17741.490329226977
2024,31,con beca,15963.917521588945
2024,32,candidato,13170.399145933683
2024,32,con beca,7100.434355500821
