macrotema,monto_exp,pct,decil,cve_ent,año
Negocio propio,15984214.549999999,75.86,10,10,2024
Trabajo,4551990.21,21.6,10,10,2024
Programas sociales y becas,329636.73,1.56,10,10,2024
Transferencias,179801.21,0.85,10,10,2024
Percepciones financieras y de capital,24972.25,0.12,10,10,2024
Trabajo,16316651.0,83.62,9,11,2020
Programas sociales y becas,3196244.63,16.38,9,11,2020
Trabajo,25655682.26,47.63,10,11,2020
Transferencias,18029504.09,33.47,10,11,2020
Programas sociales y becas,6310322.46,11.72,10,11,2020
Renta de la propiedad,2704420.42,5.02,10,11,2020
Negocio propio,1162897.97,2.16,10,11,2020
Trabajo,4675627.32,45.06,5,11,2022
Programas sociales y becas,2986407.06,28.78,5,11,2022
Transferencias,2714916.75,26.16,5,11,2022
Negocio propio,6959538.949999999,47.89,6,11,2022
Trabajo,6499572.300000001,44.72,6,11,2022
Programas sociales y becas,720539.1699999999,4.96,6,11,2022
Transferencias,264686.76,1.82,6,11,2022
Otros ingresos,88228.92,0.61,6,11,2022
Trabajo,87808680.96000001,69.33,9,11,2022
Transferencias,33057390.08,26.1,9,11,2022
Programas sociales y becas,5785035.52,4.57,9,11,2022
Trabajo,11790779.940000001,65.54,6,11,2024
Programas sociales y becas,6199985.43,34.46,6,11,2024
Programas sociales y becas,1052996.88,52.56,1,12,2020
Negocio propio,935029.68,46.67,1,12,2020
Trabajo,15259.919999999998,0.76,1,12,2020
Programas sociales y becas,7773282.2,38.83,2,12,2020
Trabajo,5935057.819999999,29.65,2,12,2020
Negocio propio,5238516.5,26.17,2,12,2020
Percepciones financieras y de capital,747780.1799999999,3.74,2,12,2020
Transferencias,323650.25,1.62,2,12,2020
Programas sociales y becas,24517496.92,56.56,3,12,2020
Trabajo,10908696.14,25.16,3,12,2020
Transferencias,4858226.5200000005,11.21,3,12,2020
Negocio propio,1542113.65,3.56,3,12,2020
Percepciones financieras y de capital,1523071.5499999998,3.51,3,12,2020
Trabajo,4314127.199999999,68.47,4,12,2020
Negocio propio,1117797.5999999999,17.74,4,12,2020
Programas sociales y becas,868694.4,13.79,4,12,2020
Trabajo,18249065.7,58.05,5,12,2020
Programas sociales y becas,11290415.01,35.91,5,12,2020
Percepciones financieras y de capital,1899586.77,6.04,5,12,2020
Trabajo,18812637.59,53.37,6,12,2020
Programas sociales y becas,10907406.65,30.94,6,12,2020
Negocio propio,3005667.3,8.53,6,12,2020
Percepciones financieras y de capital,2219580.45,6.3,6,12,2020
Transferencias,306925.9,0.87,6,12,2020
Negocio propio,26137178.15,35.36,7,12,2020
Programas sociales y becas,19851077.45,26.86,7,12,2020
Trabajo,19438157.96,26.3,7,12,2020
Transferencias,5398659.78,7.3,7,12,2020
Percepciones financieras y de capital,3084229.17,4.17,7,12,2020
Trabajo,41613957.06,82.81,8,12,2020
Programas sociales y becas,4573171.98,9.1,8,12,2020
Transferencias,3919864.8600000003,7.8,8,12,2020
Percepciones financieras y de capital,145179.36,0.29,8,12,2020
Trabajo,17280961.38,64.76,9,12,2020
Percepciones financieras y de capital,4785634.98,17.93,9,12,2020
Programas sociales y becas,4287206.88,16.07,9,12,2020
Transferencias,331079.76,1.24,9,12,2020
Percepciones financieras y de capital,37171951.68,32.95,10,12,2020
Trabajo,34025858.1,30.16,10,12,2020
Transferencias,33362600.94,29.58,10,12,2020
Programas sociales y becas,7619277.54,6.75,10,12,2020
Negocio propio,620174.4,0.55,10,12,2020
Programas sociales y becas,10084583.4,42.96,3,12,2022
Trabajo,9284915.1,39.56,3,12,2022
Transferencias,3800880.72,16.19,3,12,2022
Negocio propio,302982.68,1.29,3,12,2022
Transferencias,8032496.7700000005,61.39,4,12,2022
Programas sociales y becas,5051868.58,38.61,4,12,2022
Programas sociales y becas,8193050.25,77.41,5,12,2022
Negocio propio,1247719.0,11.79,5,12,2022
Percepciones financieras y de capital,874318.5,8.26,5,12,2022
Transferencias,269021.5,2.54,5,12,2022
Negocio propio,18216838.259999998,33.08,6,12,2022
Trabajo,16073300.520000001,29.18,6,12,2022
Programas sociales y becas,13798866.309999999,25.05,6,12,2022
Percepciones financieras y de capital,6542455.5600000005,11.88,6,12,2022
Transferencias,444390.48,0.81,6,12,2022
Trabajo,27651138.9,95.47,7,12,2022
Programas sociales y becas,1310957.94,4.53,7,12,2022
Transferencias,23993312.15,69.55,9,12,2022
Programas sociales y becas,6403898.2,18.56,9,12,2022
Trabajo,4100378.45,11.89,9,12,2022
Programas sociales y becas,6993440.24,66.0,3,12,2024
Negocio propio,2950296.08,27.84,3,12,2024
Percepciones financieras y de capital,466226.4,4.4,3,12,2024
Trabajo,155408.80000000002,1.47,3,12,2024
Transferencias,31081.76,0.29,3,12,2024
Programas sociales y becas,6955431.76,47.53,4,12,2024
Negocio propio,4494136.2,30.71,4,12,2024
Trabajo,2782171.44,19.01,4,12,2024
Percepciones financieras y de capital,401866.68,2.75,4,12,2024
Programas sociales y becas,10080491.22,36.72,6,12,2024
Trabajo,9901279.89,36.07,6,12,2024
Negocio propio,6272305.95,22.85,6,12,2024
Percepciones financieras y de capital,1198452.27,4.37,6,12,2024
Trabajo,51127040.64,71.42,8,12,2024
Programas sociales y becas,18413108.48,25.72,8,12,2024
Percepciones financieras y de capital,2045896.3200000003,2.86,8,12,2024
Trabajo,49554869.76,49.94,9,12,2024
Percepciones financieras y de capital,36295081.080000006,36.58,9,12,2024
Programas sociales y becas,8710815.72,8.78,9,12,2024
Negocio propio,2056717.44,2.07,9,12,2024
Transferencias,1451798.52,1.46,9,12,2024
Renta de la propiedad,1161439.8,1.17,9,12,2024
Trabajo,60448439.55,90.45,10,12,2024
Programas sociales y becas,6383146.5,9.55,10,12,2024
Negocio propio,4883456.64,61.99,3,13,2020
Trabajo,1838522.2000000002,23.34,3,13,2020
