macrotema,monto_exp,pct,decil,año
Programas sociales y becas,766314682.79,2.49,7,2024
Renta de la propiedad,103859019.88,0.34,7,2024
Otros ingresos,29649087.79,0.1,7,2024
Trabajo,27542061362.39,74.72,8,2024
Transferencias,3696342892.98,10.03,8,2024
Negocio propio,3406515650.61,9.24,8,2024
Programas sociales y becas,965542331.15,2.62,8,2024
Percepciones financieras y de capital,853417873.94,2.32,8,2024
Renta de la propiedad,363479786.79,0.99,8,2024
Otros ingresos,33192014.73,0.09,8,2024
Trabajo,33122801982.95,76.38,9,2024
Transferencias,4867251195.82,11.22,9,2024
Negocio propio,2824437516.45,6.51,9,2024
Percepciones financieras y de capital,1295938359.82,2.99,9,2024
Programas sociales y becas,780507865.57,1.8,9,2024
Renta de la propiedad,378816162.09000003,0.87,9,2024
Otros ingresos,93776895.34,0.22,9,2024
Trabajo,38189340063.69,69.28,10,2024
Transferencias,8556306492.51,15.52,10,2024
Negocio propio,5653540766.34,10.26,10,2024
Renta de la propiedad,997043023.31,1.81,10,2024
Percepciones financieras y de capital,850403799.86,1.54,10,2024
Programas sociales y becas,713581923.85,1.29,10,2024
Otros ingresos,166659580.77,0.3,10,2024
